id,firstname,lastname,email,password,phone,hospital,state,username
1,Chinedu,Okafor,chinedu.okafor@gmail.com,Sunshine42,07065567469,University of Benin Teaching Hospital,Edo,gabriel
2,Amina,Adekunle,amina.adekunle@yahoo.com,BlueSky123,08069289220,University of Calabar Teaching Hospital,Cross River,wale
3,Olamide,Ibrahim,olamide.ibrahim@hotmail.com,HappyDay!,09064508618,University of Abuja Teaching Hospital,FCT,
4,Ifeoma,Eze,ifeoma.eze@outlook.com,Peaceful7,09036786630,University College Hospital,Oyo,
5,Uche,Ogunjimi,uche.ogunjimi@aol.com,SummerFun,08165868850,Obafemi Awolowo University Teaching Hospital,Osun,
6,Adewale,Onwuka,adewale.onwuka@protonmail.com,SmileyFace8,07037412307,University of Ilorin Teaching Hospital,Kwara,
7,Emeka,Nwachukwu,emeka.nwachukwu@zoho.com,GreenGrass33,07038529055,University of Nigeria Teaching Hospital,Enugu,
8,Zainab,Obi,zainab.obi@rediffmail.com,FamilyLove,08143372708,Jos University Teaching Hospital,Plateau,
9,Ayo,Adebayo,ayo.adebayo@yandex.com,OceanWave22,08106591290,Aminu Kano University Teaching Hospital,Kano,
10,Chinwe,Okonkwo,chinwe.okonkwo@gmail.com,Password123,08037282708,Lagos University Teaching Hospital,Lagos,
11,Jide,Adeyemi,jide.adeyemi@yahoo.com,Sunshine45,08059243745,University of Maiduguri Teaching Hospital,Borno,
12,Nneka,Nwosu,nneka.nwosu@outlook.com,HappyDay!,08099000155,Nnamdi Azikwe Teaching Hospital,Anambra,
13,Chuka,Eze,chuka.eze@hotmail.com,12345678,08065674380,University of Port Harcourt Teaching Hospital,Rivers,
14,Aisha,Okafor,aisha.okafor@aol.com,SecretPass,07065990686,Usman Dan Fodio University Teaching Hospital,Sokoto,
15,Tunde,Mohammed,tunde.mohammed@protonmail.com,Summer2023,23495230201,University of Uyo Teaching Hospital,Akwa Ibom,
16,Ngozi,Onwuka,ngozi.onwuka@icloud.com,Welcome22,08139444817,Ahmadu Bello University Teaching Hospital,Kaduna,
17,Emeka,Obi,emeka.obi@zoho.com,987654321,08035000080,Federal Teaching Hospital,Ebonyi,
18,Zainab,Odumegwu,zainab.odumegwu@rediffmail.com,EasyPassword,08095291332,Abubakar Tafawa Balewa University Teaching Hospital,Bauchi,
19,Ifeoma,Ibrahim,ifeoma.ibrahim@yandex.com,ABC123,08033291746,"Federal Medical Centre, Umuahia",Abia,
20,Kehinde,Abubakar,kehinde.abubakar@live.com,LovelyDay,07066765089,"Federal Medical Centre, Yola",Adamawa,
21,Amarachi,Ogunjimi,amarachi.ogunjimi@mail.com,87654321,08022613125,"Federal Medical Centre, Yenagoa",Bayelsa,
22,Oluwaseun,Nwachukwu,oluwaseun.nwachukwu@tutanota.com,SimplePass,08036370052,Federal Medical Centre,Benue,
23,Chidi,Adewale,chidi.adewale@fastmail.com,555555,08035769833,"Federal Medical Centre, Asaba",Delta,
24,Amina,Adebayo,amina.adebayo@mail.ru,LetMeInNow,07038665673,"Federal Medical Centre, Ido Ekiti",Ekiti,
25,Taiwo,Ogunleye,taiwo.ogunleye@protonmail.ch,111111,07038162527,"Federal Medical Centre, Gombe",Gombe,
26,Chinedu,Ahmed,chinedu.ahmed@inbox.com,Peaceful1,08033000816,"Federal Medical Centre, Owerri",Imo,
27,Fatima,Azikiwe,fatima.azikiwe@ymail.com,Qwerty123,08034048636,"Federal Medical Centre, Birnin Kudu",Jigawa,
28,Ibrahim,Aliyu,ibrahim.aliyu@icloud.com,Simple1234,08095701311,"Federal Medical Centre, Katsina",Katsina,
29,Adaeze,Okeke,adaeze.okeke@me.com,12345,08063752979,"Federal Medical Centre, Birnin-Kebbi",Kebbi,
30,Ahmed,Balogun,ahmed.balogun@gmx.com,987654,08183060887,"Federal Medical Centre, Lokoja",Kogi,
31,Abdullahi,Bello,abdullahi.yusuf@outlook.com,Password4u,08065340714,"Federal Medical Centre, Keffi",Nasarawa,
32,Zainab,Yusuf,zainab.abubakar@aol.com,Secure789,08037017418,"Federal Medical Centre, Bida",Niger,
33,Ibrahim,Abubakar,ibrahim.haruna@protonmail.com,HelloWorld42,08035240749,"Federal Medical Centre, Abeokuta",Ogun,
34,Hauwa,Haruna,hauwa.aliyu@icloud.com,Sunshine567,08068549965,"Federal Medical Centre, Owo",Ondo,
35,Musa,Aliyu,musa.ahmad@zoho.com,SecretCode2023,08062231092,"Federal Medical Centre, Jalingo",Taraba,
36,Aisha,Ahmad,aisha.ibrahim@rediffmail.com,BlueSky1234,07035953540,"Federal Medical Centre, Nguru",Yobe,
37,Nasiru,Ibrahim,nasiru.shehu@yandex.com,Rainbow4567,08033289817,"Federal Medical Centre, Gusau",Zamfara,
38,,,,,,,,
